account_id,customer_name,date_of_birth,postcode,region,creditor,debt_type,original_balance,current_balance,interest_rate_pct,default_date,account_status,vulnerability_flag,dsar_requested,marketing_consent,assigned_agent
DC100553,Jane Wheeler,1986-05-25,WC23 9WE,Yorkshire,Leeds City Council,Catalogue Debt,3641.31,2038.12,8.98,2026-03-11,OPEN,None,N,Y,Zoe A.
DC100288,Shirley Lawrence,2007-10-25,,Scotland,Northbridge Finance,Mobile Phone Contract,14855.8,6198.92,28.94,2023-04-13,Disputed,None,Y,N,Christopher P.
DC100272,Carole Reed,14/08/2004,E4W 6LR,North West,Northbridge Finance,Personal Loan,2308.81,2233.93,5.33,2026-05-06,In Arrangement,None,N,N,Abbie J.
DC101114,Scott Arnold,14/11/1993,L37 0PW,Yorkshire,Northbridge Finance,Overdraft,2563.5,2563.5,24.86,12/17/2024,In Arrangement,None,N,Y,Neil C.
DC100703,Leanne Higgins,31/07/1974,NR7E 1UX,South East,Kestrel Bank,Mobile Phone Contract,9334.43,3625.24,14.16,23/01/2023,Disputed,None,Y,Y,Cameron S.
DC100083,Wayne Green,15/10/1960,L28 8WL,,Pinnacle Retail Finance,Mobile Phone Contract,12752.74,4105.25,16.96,2025-08-25,Open,None,N,N,Roger S.
DC100160,Darren Walker,1946-10-21,B2G 0RU,London,Vantage Home Finance,Council Tax,13242.15,13242.15,,20-12-2024,Disputed,None,N,Y,Christian C.
DC100025,Geraldine Stokes,16/08/2007,B8E 2LE,North East,Vantage Home Finance,Rent Arrears,2130.09,1140.36,27.11,18/11/2025,In Arrangement,None,N,Y,Kenneth C.
DC100718,Leah Campbell,04/01/1961,BR8 6AR,Scotland,Leeds City Council,Store Card,2749.09,2712.61,7.99,2023-03-19,In Arrangement,Elderly - Support Needed,N,Unknown,Suzanne W.
DC100544,Emily Phillips,1988-01-18,IM9 5YE,North West,Yorkshire Utilities Group,Credit Card,7998.66,7998.66,26.71,09/01/2025,Open,Elderly - Support Needed,N,Y,Wendy S.
DC100303,Abbie McLean,19/08/1988,OX9H 8WZ,South West,Yorkshire Utilities Group,Catalogue Debt,12641.55,12641.55,26.8,18/05/2025,Open,None,N,Y,Neil W.
DC100438,Paula Brown,1979-12-26,BR2 0PR,South West,Hallgate Bank,Personal Loan,2906.72,2906.72,4.97,2024-01-08,Written Off,None,N,Y,Kayleigh W.
DC101128,Teresa Reid,1959-11-10,S2W 9LP,North East,Meridian Telecom,Credit Card,10244.1,8511.21,9.42,25/11/2024,In Arrangement,None,N,Y,Dominic M.
DC100586,Hollie Davies,09/06/1995,B31 3AH,North West,Kestrel Bank,Rent Arrears,1300.52,1102.29,22.91,2023-01-24,Open,None,N,N,Hayley B.
DC100371,Katie Ball,1966-08-20,CT2X 6ZY,Yorkshire,Aurora Credit Ltd,Overdraft,8840.61,7060.66,25.37,05/11/2023,Legal Action,None,N,N,Carol B.
DC100567,Graham Boyle,12/10/1949,IV3Y 6ZL,Midlands,Kestrel Bank,Credit Card,7949.13,3909.16,21.97,2023-12-27,Open,None,N,Y,Liam G.
DC100857,Beverley Walters,1975-03-13,,North West,Yorkshire Utilities Group,Store Card,3810.37,376.95,24.44,04/20/2025,Disputed,None,N,Unknown,Joseph T.
DC100279,Allan Baxter,09/28/1984,SA6 0UF,South East,Hallgate Bank,Rent Arrears,1525.17,753.44,9.79,2025-05-17,On Hold,None,N,Y,Eileen L.
DC100129,Anthony Taylor,18/04/1963,KY6 6PG,North West,Aurora Credit Ltd,Utility Arrears,2388.56,5.49,10.26,2023-03-18,Open,Mental Health,N,N,Jean M.
DC100691,Sean Smith,,EH9 0ED,,Pinnacle Retail Finance,Catalogue Debt,13763.95,12236.54,28.37,2025-05-22,OPEN,None,N,N,Carly E.
DC100682,Gerard Banks,17/04/1956,EH3 3JZ,North West,Yorkshire Utilities Group,Credit Card,9336.01,7749.68,16.83,04/08/2025,Closed,None,N,N,Margaret B.
DC101019,Arthur Johnson,1942-08-29,W0 6BX,East Anglia,Northbridge Finance,Mobile Phone Contract,4834.08,4834.08,27.86,2022-10-27,On Hold,None,N,Y,Gemma C.
DC101153,Hilary Howe,01/04/1993,L59 3TE,Scotland,Northbridge Finance,Personal Loan,2621.91,2621.91,10.59,2022-11-22,Open,None,Y,Y,Oliver O.
DC100575,Hugh Payne,1987-01-19,IG91 2AD,East Anglia,Kestrel Bank,Rent Arrears,10963.57,7237.69,18.7,2025-05-21,Closed,None,N,N,Kelly H.
DC100223,Francesca O'Brien,03/09/1967,SY3P 1AH,South West,Aurora Credit Ltd,Personal Loan,14473.87,14473.87,11.09,2023-12-02,Open,Bereavement,N,N,Lesley H.
DC100037,Glen Lewis,1983-10-06,M33 0BJ,East Anglia,Yorkshire Utilities Group,Rent Arrears,4661.96,4661.96,27.16,13/01/2024,Written Off,None,N,N,Alice T.
DC100032,Tracey Davies,03-02-1998,E4 9LB,Wales,Leeds City Council,Rent Arrears,5528.49,599.43,13.9,07/01/2024,Open,None,N,N,Raymond A.
DC100395,Jason Jones,02/03/1984,WV6N 9LW,North East,Meridian Telecom,Rent Arrears,9190.48,9190.48,,02/19/2024,Open,None,N,N,Simon H.
DC101118,Lawrence Smith,16/04/1966,M4 2NA,South West,Leeds City Council,Utility Arrears,334.6,21.13,21.39,19/06/2025,Open,None,N,Y,Matthew R.
DC101144,Lisa Lloyd,1964-08-07,L7 3AW,North West,Yorkshire Utilities Group,Catalogue Debt,7507.17,2920.93,1.46,2024-04-26,Written Off,None,N,N,Raymond H.
DC100289,Rhys Carter,1952-03-09,TN12 6RS,Midlands,Yorkshire Utilities Group,Rent Arrears,10719.84,,27.64,18/09/2025,Open,None,N,Y,Lesley C.
DC100024,Liam Powell,14/02/1975,WS1 5NG,London,Kestrel Bank,Credit Card,6304.45,6304.45,25.73,29-03-2023,In Arrangement,None,N,N,Jennifer L.
DC101185,Christian Smith,1941-04-26,ML0 6FG,North East,Summit Consumer Credit,Overdraft,13527.9,,22.47,2026-01-27,Closed,None,N,N,Anthony J.
DC100505,Helen Morgan,16/07/1977,KT7 4HD,North West,Yorkshire Utilities Group,Store Card,10065.5,10065.5,10.48,28/03/2023,Written Off,None,N,N,Daniel C.
DC101062,Marie Joyce,2001-12-09,G9F 8RT,Scotland,Kestrel Bank,Credit Card,5635.29,4174.97,7.77,2024-09-02,Written Off,Elderly - Support Needed,N,Y,Connor K.
DC101199,Joan Reynolds,10/09/1959,L06 4PW,Midlands,Northbridge Finance,Store Card,7657.09,3441.91,4.51,2025-01-17,Open,None,N,N,Clifford M.
DC101005,Brett Ryan,2006-10-12,B2B 6RU,London,Summit Consumer Credit,Overdraft,6626.79,6626.79,26.39,09/26/2023,Legal Action,,N,N,Anthony H.
DC100786,JILL THOMAS,10/03/2007,,Midlands,Aurora Credit Ltd,Catalogue Debt,3631.15,3631.15,15.61,11-12-2022,On Hold,None,N,Y,Tracey D.
DC100472,Callum Patel,1992-08-30,E24 7DT,East Anglia,Pinnacle Retail Finance,Council Tax,2085.08,1333.27,6.28,05/04/2025,Written Off,None,N,N,Martyn H.
DC100301,Mohammed Clark,23-01-1988,E69 9TG,North East,Northbridge Finance,Store Card,6707.49,6707.49,19.15,13-12-2022,Open,None,N,N,Kathryn P.
DC100408,Angela Johnson,1970-09-03,L52 1BJ,,Kestrel Bank,Overdraft,2801.34,2741.13,26.46,05/05/2026,On Hold,None,N,Y,Jasmine B.
DC101108,Elliott Palmer,25/11/1999,AL6 2YG,Midlands,Aurora Credit Ltd,Personal Loan,13208.49,13208.49,6.89,2023-04-22,Open,None,N,Y,Charlie G.
DC100437,Hayley Nash,1972-01-17,LL6 8NY,North West,Aurora Credit Ltd,Overdraft,11262.11,11262.11,19.57,2026-02-10,Open,None,N,Y,Josephine S.
DC100924,Dennis Roberts,16-06-2005,M7H 5FG,Scotland,Summit Consumer Credit,Rent Arrears,6524.61,5260.43,9.08,05-03-2024,In arrangement,,N,N,Judith E.
DC100605,Sheila Wright,18/02/1957,KW8B 5LW,,Aurora Credit Ltd,Utility Arrears,5568.2,1194.41,,2025-10-02,Disputed,None,N,N,Owen H.
DC100119,Margaret Kerr,1969-03-11,G40 5XE,East Anglia,Hallgate Bank,Catalogue Debt,13437.65,13437.65,,05/10/2023,On Hold,None,N,Unknown,Georgia B.
DC100116,Maurice May,15/10/1973,,North West,Kestrel Bank,Credit Card,12297.24,12297.24,13.63,2023-08-11,Open,None,N,N,Ian A.
DC100748,Kenneth Clarke,1991-03-21,L3T 1DX,Midlands,Yorkshire Utilities Group,Credit Card,11719.03,5233.27,5.14,12/03/2023,Open,None,N,N,Marian W.
DC100042,Jacqueline Faulkner,04/10/1988,HP87 0HS,South East,Vantage Home Finance,Store Card,14823.57,5074.7,22.72,21/12/2022,Closed,None,N,N,Janet F.
DC100018,Bradley Oliver,1959-08-31,W8 0XA,South East,Summit Consumer Credit,Overdraft,14587.11,14005.16,22.41,13-09-2023,In Arrangement,None,N,Y,Colin B.
DC101197,Rhys Savage,1945-03-23,SS7 3TG,Wales,Leeds City Council,Store Card,13112.88,3744.16,17.37,02/01/2026,Closed,None,N,Y,Ellie H.
DC100243,Cheryl Robson,1956-10-27,TR6 5TL,Wales,Summit Consumer Credit,Personal Loan,5928.48,229.94,19.09,2023-09-29,Open,None,N,N,Donald T.
DC100739,Carolyn Ryan,1953-08-12,KT50 3UL,London,Leeds City Council,Credit Card,6903.19,63.14,18.78,11/17/2022,Open,None,N,Y,Terence O.
DC100517,Gregory Naylor,,M7J 3AA,East Anglia,Northbridge Finance,Store Card,8928.89,8928.89,25.17,2025-12-16,Open,None,N,N,Carl S.
DC101035,Steven Shaw,1992-01-05,BH6 1TS,North West,Summit Consumer Credit,Personal Loan,6484.89,2762.77,,17/07/2025,Closed,None,N,N,Fiona T.
DC100399,Lynne Kaur,1966-03-24,EN5R 6AB,,Summit Consumer Credit,Store Card,920.16,56.35,15.47,2024-11-16,In arrangement,None,N,N,Glen W.
DC101187,Luke Rice,22/05/1966,NG76 8TW,South West,Summit Consumer Credit,Overdraft,14004.36,13935.2,,2022-09-21,Legal Action,None,N,N,Owen F.
DC101025,Brandon Brown,1973-06-01,S73 9LX,Wales,Aurora Credit Ltd,Mobile Phone Contract,6492.79,6249.74,14.35,2026-01-30,Disputed,None,N,Y,Chloe H.
DC101027,Claire Pugh,1942-06-14,L7 1XN,South West,Kestrel Bank,Catalogue Debt,8948.47,5391.54,18.81,2024-11-06,In arrangement,None,N,,Malcolm W.
DC100794,Frances Stevenson,1976-02-17,WA27 0HH,Wales,Summit Consumer Credit,Mobile Phone Contract,6313.53,3569.55,4.71,2022-09-26,Open,None,N,N,Emily B.
DC100180,Terence Morris,07/01/1992,PL3P 8PN,South East,Pinnacle Retail Finance,Catalogue Debt,1476.1,951.67,13.87,2026-04-21,Closed,None,N,Y,Jessica H.
DC100767,Nathan Whitehead,22-12-2005,N2 6QP,North East,Summit Consumer Credit,Council Tax,9528.34,2750.21,9.94,24/10/2023,Closed,None,N,N,Olivia D.
DC101068,Lydia Cameron,1990-12-11,N03 7GJ,Scotland,Kestrel Bank,Utility Arrears,13384.4,1158.47,12.53,2024-10-09,Closed,None,N,N,Stanley F.
DC100825,Robin Jones,1966-11-27,DL9 4TF,,Meridian Telecom,Utility Arrears,11638.77,1595.69,,2024-08-18,On Hold,Physical Health,N,N,Leanne W.
DC100784,Melissa Evans,16-10-1946,EX74 2EY,,Yorkshire Utilities Group,Store Card,9997.33,9997.33,8.19,2023-06-04,Closed,None,N,Y,Holly T.
DC100948,Grace Haynes,1986-11-12,E66 9RY,,Summit Consumer Credit,Mobile Phone Contract,3947.54,845.44,4.52,11/24/2023,On Hold,None,N,N,Matthew O.
DC100919,Wendy Wright,1946-06-05,NE93 7LS,Wales,Pinnacle Retail Finance,Credit Card,6871.47,6252.42,1.76,19/04/2024,Open,Physical Health,N,N,Graeme C.
DC100571,Marcus Osborne,1992-07-04,KY2 7FX,London,Kestrel Bank,Overdraft,8438.83,1370.17,6.58,2023-10-03,On Hold,None,N,N,Sylvia W.
DC100908,Stanley Benson,1964-05-10,W79 3AN,,Hallgate Bank,Overdraft,13664.11,6723.79,16.38,2024-04-12,In Arrangement,None,N,Y,Max B.
DC100929,Dale Scott,1946-12-07,G27 5DB,North East,Yorkshire Utilities Group,Utility Arrears,5195.8,5195.8,16.47,2025-11-13,Legal Action,None,N,N,Ashley L.
DC100112,Donna Hayes,05/12/1944,SP1 0JT,London,Northbridge Finance,Catalogue Debt,9753.58,758.57,18.09,16-02-2023,Open,None,Y,Y,Jennifer B.
DC100510,Peter Gibbons,07/09/1974,HD20 4UN,Scotland,Kestrel Bank,Personal Loan,13024.04,11579.26,,17/04/2023,Open,None,N,Unknown,Marion K.
DC100282,Martyn Hart,1999-04-21,YO4H 8JB,South West,Meridian Telecom,Utility Arrears,2081.6,1101.72,26.65,29/09/2023,Open,None,N,N,Grace A.
DC101189,Laura Gray,07/30/1948,IM45 5UH,East Anglia,Hallgate Bank,Store Card,4146.36,1748.16,27.49,2026-04-06,Closed,None,N,N,Andrew S.
DC100677,Guy Brown,1955-03-11,TW4X 0DH,,Leeds City Council,Overdraft,6429.18,2761.08,12.44,2023-08-01,In Arrangement,None,N,Y,Victoria A.
DC100014,Vanessa Brooks,1970-07-07,L3 5AY,Wales,Pinnacle Retail Finance,Catalogue Debt,3806.3,1543.38,21.41,2024-09-30,Closed,None,N,Y,Andrea W.
DC100509,Elliot Charlton,1954-09-03,HD5E 7XG,London,Yorkshire Utilities Group,Catalogue Debt,11173.74,9715.03,25.13,2025-06-28,In Arrangement,None,N,N,Eleanor A.
DC100232,Dennis Simpson,1951-04-16,E4T 3BJ,South West,Hallgate Bank,Utility Arrears,3061.54,612.19,25.4,01/01/2024,Closed,None,N,N,Nicholas B.
DC101156,Ashley O'Neill,27/09/1951,DH7X 8LU,Yorkshire,Kestrel Bank,Overdraft,4288.71,119.65,18.18,2024-12-15,In Arrangement,None,N,,Joseph C.
DC100318,Lydia Webster,1978-04-08,DH9 3QY,North West,Yorkshire Utilities Group,Store Card,12406.88,1247.5,,2022-10-09,Closed,None,N,Y,Janice H.
DC100496,Marion Sutton,17/02/1969,SS80 8RU,South East,Summit Consumer Credit,Mobile Phone Contract,12906.2,7731.6,20.4,2022-11-23,On Hold,None,N,Y,Bethan P.
DC100746,Irene Morris,1955-02-19,E6C 7QP,Wales,Northbridge Finance,Catalogue Debt,5563.89,5563.89,,2024-07-27,On Hold,None,N,N,Leon G.
DC100656,Brett Chapman,10/02/1963,WD4H 8LA,North East,Summit Consumer Credit,Overdraft,8848.89,6889.85,26.02,11/28/2023,Open,,N,Y,Clifford B.
DC100150,Simon Thomas,15/01/1950,NE72 5ZP,Scotland,Vantage Home Finance,Council Tax,4763.86,,17.69,2024-01-10,Closed,None,N,N,Ben L.
DC100368,Aaron Turner,25/06/1998,HD7M 8YB,East Anglia,Hallgate Bank,Store Card,2855.79,2855.79,7.93,2024-09-29,On Hold,None,N,N,Patricia G.
DC100197,Mohammed Williams,05/10/1969,N4 7ZZ,Wales,Pinnacle Retail Finance,Rent Arrears,12101.23,10429.08,6.01,2024-08-13,On Hold,None,N,Y,Dominic M.
DC100433,Elliott Smith,31/10/1979,W87 2ZJ,London,Northbridge Finance,Credit Card,8497.81,8497.81,21.84,02/28/2025,In Arrangement,None,N,Y,Lindsey H.
DC101134,Leah Bates,1969-07-01,M6 4BE,,Leeds City Council,Utility Arrears,7986.4,1088.57,19.56,2026-02-26,On Hold,None,N,Y,Josh S.
DC100709,Guy Daly,2004-11-02,SL72 2BZ,Midlands,Hallgate Bank,Personal Loan,8549.41,3688.82,4.18,2026-01-01,Open,None,N,Y,Stanley H.
DC100093,Philip Jones,,,South West,Pinnacle Retail Finance,Mobile Phone Contract,4303.85,46.95,10.93,24/09/2024,Open,,N,N,Josh M.
DC100057,Oliver Lee,1960-11-12,AL8 4BB,Midlands,Aurora Credit Ltd,Credit Card,192.11,192.11,10.71,2024-02-19,Open,None,N,N,Andrea H.
DC100954,Damian Connolly,31/10/1963,S1S 2UH,South West,Aurora Credit Ltd,Catalogue Debt,14311.81,4999.61,26.5,12-12-2025,Open,Financial Hardship,N,N,Samuel K.
DC100963,Tina Stewart,1984-02-04,ML15 6RA,,Meridian Telecom,Catalogue Debt,9536.98,9536.98,7.72,03/06/2026,Legal Action,None,N,Y,Jeffrey G.
DC100584,Arthur Cook,2003-02-26,G19 1SX,Midlands,Kestrel Bank,Rent Arrears,7023.77,448.1,14.17,2025-11-23,In Arrangement,None,N,Y,Jack B.
DC101175,Kathryn Thompson,10-07-1952,B3 6YZ,South West,Leeds City Council,Council Tax,9391.69,7497.02,4.63,2023-08-02,Open,None,N,Y,Emma W.
DC100135,Allan Turner,02/21/1960,DH12 7GT,South West,Aurora Credit Ltd,Council Tax,5597.9,5597.9,29.88,24/04/2026,In Arrangement,None,N,Y,Nicholas B.
DC100461,Craig Smith,10-08-1983,BS8W 9BP,London,Leeds City Council,Personal Loan,7608.1,5509.61,12.15,27/04/2025,On Hold,Financial Hardship,N,Y,Eleanor M.
DC101009,Hazel Cox,21/03/2005,OX40 0AJ,,Northbridge Finance,Utility Arrears,9702.28,9702.28,11.27,2026-03-16,In Arrangement,None,N,N,Brandon P.
DC100111,Kevin Connolly,03/30/1960,S7 7YH,Wales,Hallgate Bank,Council Tax,7938.28,2410.79,8.99,2025-03-31,Open,None,N,N,Danny B.
DC100617,Rosemary Williams,05/08/1995,PE07 5SG,North West,Vantage Home Finance,Mobile Phone Contract,9108.25,93.69,27.18,2025-02-05,closed,None,N,N,Elizabeth J.
DC100940,Nicholas Sullivan,1972-03-16,G1 5YA,South West,Vantage Home Finance,Utility Arrears,8094.42,1551.73,17.4,2023-03-06,Open,None,N,N,Leslie P.
DC100689,Joan Hammond,11/25/2000,S9 3SL,Wales,Vantage Home Finance,Overdraft,1657.27,726.07,16.51,2026-08-11,Open,None,N,,Damien B.
DC101138,Abdul Robson,06/07/1953,B9 8UJ,North East,Northbridge Finance,Personal Loan,5815.06,2029.68,22.0,2025-06-03,Closed,None,N,N,Anthony H.
DC100491,Samantha Ryan,1986-09-30,N3 3SH,Yorkshire,Leeds City Council,Council Tax,5131.75,5131.75,19.09,2023-12-31,Open,None,Y,Y,Nicola B.
DC100820,Anthony Leach,1988-01-30,CM5W 0JB,Wales,Yorkshire Utilities Group,Rent Arrears,6352.9,688.61,9.74,2024-07-02,Open,None,N,Unknown,Mark K.
DC100618,Debra Stephens,1958-03-18,G4 2LD,East Anglia,Summit Consumer Credit,Credit Card,11778.18,499.69,24.75,04/03/2023,Disputed,None,N,N,Carl P.
DC100666,Tracey Butler,1957-07-04,W7H 1NT,,Hallgate Bank,Catalogue Debt,9026.42,5137.57,20.17,2024-01-04,Open,None,N,N,Denis H.
DC101173,,1979-07-11,N3C 8YP,Yorkshire,Kestrel Bank,Council Tax,14005.82,11772.54,0.65,2023-10-07,Legal Action,None,N,N,Gerald T.
DC100607,Clifford Kirby,01/02/1994,CR6V 1PW,North East,Meridian Telecom,Catalogue Debt,6033.79,4976.47,13.7,2025-07-09,Open,None,N,Unknown,Carole L.
DC100307,Rachael Robson,28/01/1984,L7F 0JT,Midlands,Aurora Credit Ltd,Overdraft,2645.56,2645.56,0.47,17/03/2026,Open,None,N,Y,Mohamed M.
DC100657,Denis Gill,07/03/1968,B7S 6JJ,Yorkshire,Pinnacle Retail Finance,Store Card,8764.81,2547.88,17.14,2024-04-23,Written Off,None,N,Unknown,Rhys J.
DC100473,Hazel Cooke,27-01-1993,E40 6PB,North East,Yorkshire Utilities Group,Rent Arrears,10614.2,10614.2,1.31,27-12-2023,In Arrangement,None,N,N,Garry A.
DC100541,Gemma Richards,09/16/1964,BN0 2QQ,North East,Vantage Home Finance,Utility Arrears,9927.89,9927.89,27.73,2026-07-21,Legal Action,None,N,N,Carole P.
DC100546,Keith Gray,1977-02-27,M9 3ZD,Midlands,Leeds City Council,Personal Loan,12346.72,8767.45,7.22,06-11-2023,Closed,None,N,N,Rosemary G.
DC100878,Marie Brennan,1942-08-01,S6U 1XR,Scotland,Aurora Credit Ltd,Rent Arrears,12639.26,4287.79,23.9,2025-07-25,In Arrangement,None,N,N,Josephine H.
DC100177,Helen Miles,1961-02-11,W3W 4FT,South East,Summit Consumer Credit,Catalogue Debt,7881.47,2966.54,3.23,2023-06-11,Open,,N,,Kevin M.
DC100152,Helen Jackson,25-11-1994,RG0W 4YY,Midlands,Meridian Telecom,Personal Loan,10557.58,6624.97,1.86,2025-07-24,Open,None,N,Y,Julian A.
DC100360,Gerald Davies,10-05-1956,NE8 4JN,Scotland,Summit Consumer Credit,Mobile Phone Contract,13904.62,9970.65,4.93,2023-12-16,In Arrangement,None,N,N,Colin M.
DC100953,Lawrence Perry,1990-05-22,NN15 9AJ,North West,Yorkshire Utilities Group,Credit Card,11829.93,7438.47,29.33,2024-05-20,Closed,None,N,Y,Tina W.
DC100785,Mitchell Alexander,1998-12-31,W58 5DS,Wales,Aurora Credit Ltd,Store Card,13237.4,13237.4,19.26,25-04-2026,Closed,None,N,N,Kathleen P.
DC100085,Hannah Brown,1977-03-17,SW4W 5EJ,North West,Summit Consumer Credit,Rent Arrears,14959.35,2834.6,8.97,02/07/2024,In arrangement,None,N,N,Megan J.
DC100804,Teresa Moran,02/17/1951,E9G 2TQ,Yorkshire,Yorkshire Utilities Group,Overdraft,7897.59,2802.17,3.9,2025-02-21,Closed,None,N,N,Christian S.
DC100836,Holly Smith,1971-12-01,SO5 1LW,Wales,Summit Consumer Credit,Store Card,7756.25,2873.57,22.46,2025-12-18,Open,None,Y,N,Ruth B.
DC100842,Adam Smith,15/07/1964,G1T 2HS,North East,Summit Consumer Credit,Catalogue Debt,7641.55,3362.79,28.39,2023-10-31,Closed,Physical Health,N,Y,Fiona B.
DC100384,Tony Warren,16/01/1997,EH6R 0HT,South West,Kestrel Bank,Utility Arrears,7557.59,4357.54,14.49,2023-03-14,On Hold,None,N,Unknown,Neil B.
DC100723,Robin Andrews,1981-09-01,FY2 1XL,Wales,Aurora Credit Ltd,Store Card,9711.95,8199.79,2.16,2023-07-27,Written Off,None,N,Y,Elliot P.
DC100430,Mandy Burns,2003-04-23,DD24 7YQ,London,Vantage Home Finance,Overdraft,953.0,78.45,5.49,2022-11-30,Written Off,None,N,Y,Alan G.
DC100988,Hugh O'Sullivan,08/03/1959,NN1A 9WJ,Scotland,Summit Consumer Credit,Store Card,4496.21,4496.21,28.66,28/06/2026,Written Off,None,N,N,Duncan S.
DC101103,Heather Lee,1960-11-24,GL3P 5JW,Yorkshire,Aurora Credit Ltd,Council Tax,1148.45,971.63,8.48,2024-05-02,In Arrangement,None,N,N,Thomas W.
DC100166,Aaron Jones,1971-08-30,KT8 8HJ,South West,Summit Consumer Credit,Rent Arrears,9168.67,9168.67,8.42,2026-08-06,Closed,,N,Y,Gail M.
DC100646,Chloe Chamberlain,1980-07-19,,Scotland,Kestrel Bank,Mobile Phone Contract,4621.46,1338.1,19.77,2025-09-20,In Arrangement,None,N,Unknown,Marcus E.
DC100455,Sophie Baker,1998-09-10,B0T 1NA,Wales,Leeds City Council,Rent Arrears,2698.31,61.78,17.25,19/12/2022,Open,None,N,N,Damian W.
DC100955,Tracy Green,1966-11-03,M46 0LS,South East,Kestrel Bank,Utility Arrears,595.32,210.97,2.37,05/06/2023,Disputed,None,N,Y,Antony O.
DC100480,Jenna Smith,1967-02-27,HA7V 0BP,South West,Meridian Telecom,Credit Card,1638.47,775.36,0.41,29/10/2025,Written Off,None,N,Unknown,William H.
DC100904,Gerald Davies,05/10/1958,W42 1WH,,Vantage Home Finance,Personal Loan,9680.54,3379.37,13.65,2023-04-25,In Arrangement,None,N,N,Paul W.
DC100817,Valerie Morley,23/01/2008,W2 9RJ,North East,Leeds City Council,Utility Arrears,10657.08,10657.08,17.88,15/05/2024,Open,None,N,Unknown,Melissa B.
DC101010,Garry Davis,17-06-1980,,London,Vantage Home Finance,Catalogue Debt,4724.51,2328.1,18.79,2025-09-23,OPEN,None,Y,Y,Sean M.
DC100518,Ruth Lee,1972-11-08,KT2 3AE,South East,Hallgate Bank,Credit Card,10890.32,7899.04,20.82,2025-04-13,Closed,None,N,N,Martyn H.
DC100499,Ashleigh Winter,1983-05-19,HP8A 6LZ,,Meridian Telecom,Catalogue Debt,6537.13,6537.13,5.27,24-03-2024,Legal Action,Physical Health,N,Y,Joanna A.
DC100402,Shirley Bell,26-08-1990,DD79 9NB,,Northbridge Finance,Rent Arrears,13798.87,13798.87,,2025-07-22,In Arrangement,None,N,Y,Melissa P.
DC100204,Maureen Bevan,26-06-1987,IV7 5AU,Wales,Pinnacle Retail Finance,Rent Arrears,13751.6,756.51,13.32,2023-08-03,In Arrangement,None,N,N,Stuart H.
DC100729,Sally Edwards,,M0T 3ZS,South East,Meridian Telecom,Credit Card,2217.2,575.68,26.84,2023-04-13,In Arrangement,None,N,N,Diana M.
DC101171,Jeremy Lees,30/05/1992,E4 8XL,,Aurora Credit Ltd,Utility Arrears,7189.61,1933.74,18.04,13/08/2026,Open,None,N,Y,Scott L.
DC100898,Gareth Thomas,12/26/2004,DL6V 9ZP,South West,Pinnacle Retail Finance,Overdraft,3177.78,2379.43,15.92,2026-03-06,On Hold,None,N,Y,Nigel W.
DC100061,Nigel May,1954-11-07,BT2H 8DG,South West,Northbridge Finance,Catalogue Debt,8491.0,2801.92,10.51,19/07/2023,On Hold,Physical Health,N,Y,Paul H.
DC100490,Sandra Thomas,1991-01-26,G07 1JT,East Anglia,Aurora Credit Ltd,Store Card,6095.98,5754.62,19.52,2026-05-06,Legal Action,,N,Y,Jenna J.
DC100529,Joseph Gibson,1980-01-14,L42 1HW,,Aurora Credit Ltd,Catalogue Debt,14603.37,9354.63,20.3,2022-10-11,Open,Physical Health,N,Y,Lindsey J.
DC100477,Brian Henderson,1940-12-12,CM98 5NR,Midlands,Meridian Telecom,Catalogue Debt,14587.45,9852.92,1.71,06/17/2026,On Hold,None,N,N,William D.
DC100375,Glen Williams,26-04-1949,B05 7TX,North East,Leeds City Council,Mobile Phone Contract,12131.21,12131.21,23.0,2024-10-13,Open,None,N,N,Abdul P.
DC100610,GARETH LOWE,08/09/1973,ML8B 7UB,,Pinnacle Retail Finance,Personal Loan,3225.97,703.1,0.54,2024-07-06,Open,None,N,Y,Charles C.
DC100072,Joel Smart,1980-02-27,W87 5XX,,Meridian Telecom,Rent Arrears,10587.04,559.96,10.84,22/04/2025,On Hold,None,N,Y,Gemma M.
DC100459,Jacqueline Evans,05/10/1953,W3T 6XY,Wales,Leeds City Council,Personal Loan,12346.95,6301.65,5.11,02/02/2025,In Arrangement,None,N,Y,Claire R.
DC100671,Barry Mills,1991-08-19,E8 7FU,Midlands,Vantage Home Finance,Rent Arrears,14119.45,14119.45,2.98,14/08/2024,Open,None,N,Y,Ricky G.
DC100010,Geoffrey Richardson,1977-03-27,HR1M 2TA,East Anglia,Vantage Home Finance,Store Card,5056.86,5056.86,14.14,07/10/2023,Disputed,None,N,Y,Marcus P.
DC101028,Mohammad Price,1978-05-07,G6W 2JA,,Pinnacle Retail Finance,Utility Arrears,8378.44,4359.38,,27/05/2026,Disputed,None,N,N,Joe H.
DC100463,Leon Wood,1979-01-20,PA29 4ZA,Wales,Vantage Home Finance,Credit Card,3776.76,985.8,28.84,12/17/2022,Legal Action,Financial Hardship,N,N,Mitchell J.
DC101141,Ashley Ross,1965-02-10,G0F 9PX,North East,Yorkshire Utilities Group,Rent Arrears,13498.09,13498.09,28.08,19/07/2024,On Hold,None,N,Y,Julia L.
DC101122,Anna Davey,27/05/1943,SP2R 1FF,,Pinnacle Retail Finance,Store Card,329.51,14.08,8.01,22/09/2024,Open,Financial Hardship,N,N,Timothy N.
